Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CG,The Carlyle Group Inc. Common Stock,$33.48,0.77,2.354%,11835868884.00,United States,2012,1440956,Finance,Investment Managers
CGNX,Cognex Corporation Common Stock,$85.26,1.67,1.998%,14889194915.00,United States,1989,766100,Capital Goods,Industrial Machinery/Components
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$86.62,0.19,0.22%,11775653521.00,United States,1997,1289542,Transportation,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,$616.70,17.68,2.951%,126361322456.00,United States,,1523107,Consumer Services,Television Services
CINF,Cincinnati Financial Corporation Common Stock,$87.11,-0.30,-0.343%,14015729220.00,United States,,726400,Finance,Property-Casualty Insurers
CMCSA,Comcast Corporation Class A Common Stock,$51.18,1.03,2.054%,234165039073.00,United States,,17359079,Consumer Services,Television Services
CME,CME Group Inc. Class A Common Stock,$192.01,4.57,2.438%,68929784530.00,United States,2002,1628542,Finance,Investment Bankers/Brokers/Service
COST,Costco Wholesale Corporation Common Stock,$355.58,5.06,1.444%,157506020328.00,United States,,1903942,Consumer Services,Department/Specialty Retail Stores
COUP,Coupa Software Incorporated Common Stock,$332.33,14.53,4.572%,23986315217.00,United States,2016,1002584,Technology,Computer Software: Prepackaged Software
CPRT,Copart Inc. (DE) Common Stock,$113.96,3.10,2.796%,26909702777.00,United States,1994,1140844,Consumer Durables,Automotive Aftermarket
CREE,Cree Inc. Common Stock,$116.30,2.16,1.892%,12911167313.00,United States,1993,2590365,Technology,Semiconductors
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$219.64,4.63,2.153%,48598367634.00,United States,2019,3579206,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock (DE),$45.83,0.43,0.947%,193655324998.00,United States,1990,16504105,Technology,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,$920.41,-4.59,-0.496%,36280792252.00,United States,1998,408460,Miscellaneous,Business Services
CSX,CSX Corporation Common Stock,$89.64,2.59,2.975%,68554427235.00,United States,,3943615,Transportation,Railroads
CTAS,Cintas Corporation Common Stock,$331.22,5.73,1.76%,34788024345.00,United States,1983,560234,Consumer Non-Durables,Apparel
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$80.05,1.21,1.535%,42798015012.00,United States,1998,2738797,Technology,EDP Services
CTXS,Citrix Systems Inc. Common Stock,$133.12,0.61,0.46%,16390209905.00,United States,1995,1285130,Technology,Computer Software: Prepackaged Software
CZR,Caesars Entertainment Inc. Common Stock,$76.00,5.20,7.345%,15829062488.00,United States,,1733588,Consumer Services,Hotels/Resorts
DDOG,Datadog Inc. Class A Common Stock,$106.01,4.22,4.146%,32283474317.00,United States,2019,3374392,Technology,Computer Software: Prepackaged Software
DISCA,Discovery Inc. Series A Common Stock,$40.08,-2.04,-4.843%,19685385066.00,United States,,9691199,Consumer Services,Television Services
DISCB,Discovery Inc. Series B Common Stock,$44.82,0.00,0.00%,22013447072.00,United States,,473,Consumer Services,Television Services
DISCK,Discovery Inc. Series C Common Stock,$34.10,-0.90,-2.571%,16748294180.00,United States,,6270982,Consumer Services,Television Services
DISH,DISH Network Corporation Class A Common Stock,$30.07,0.62,2.105%,15817074603.00,United States,1995,4631814,Consumer Services,Television Services
DKNG,DraftKings Inc. Class A Common Stock,$59.31,4.67,8.547%,23232547020.00,United States,2019,31534788,Consumer Services,Services-Misc. Amusement & Recreation
DLTR,Dollar Tree Inc. Common Stock,$104.02,3.16,3.133%,24464687651.00,United States,1995,2766808,Consumer Services,Department/Specialty Retail Stores
DOCU,DocuSign Inc. Common Stock,$239.84,9.70,4.215%,45871059213.00,United States,2018,3052269,Technology,Computer Software: Prepackaged Software
DXCM,DexCom Inc. Common Stock,$394.63,12.01,3.139%,37895372972.00,United States,2005,864963,Health Care,Medical/Dental Instruments
EA,Electronic Arts Inc. Common Stock,$148.97,3.10,2.125%,43179570342.00,United States,,4175834,Technology,Computer Software: Prepackaged Software
EBAY,eBay Inc. Common Stock,$57.33,-1.14,-1.95%,39519777925.00,United States,1998,8574017,Miscellaneous,Business Services
ENPH,Enphase Energy Inc. Common Stock,$192.63,6.29,3.376%,24335442381.00,United States,2012,2177242,Technology,Semiconductors
ENTG,Entegris Inc. Common Stock,$98.11,-3.93,-3.851%,13244106817.00,United States,2000,1259417,Consumer Non-Durables,Plastic Products
EQIX,Equinix Inc. Common Stock REIT,$768.57,11.85,1.566%,68480909709.00,United States,2000,575845,Consumer Services,Real Estate Investment Trusts
ERIE,Erie Indemnity Company Class A Common Stock,$250.65,4.74,1.928%,13106455414.00,United States,,45231,Finance,Specialty Insurers
ETSY,Etsy Inc. Common Stock,$210.29,6.52,3.20%,26515669240.00,United States,2015,1972166,Miscellaneous,Business Services
EXAS,Exact Sciences Corporation Common Stock,$140.21,1.82,1.315%,23660143480.00,United States,2001,1548129,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXC,Exelon Corporation Common Stock,$42.85,0.77,1.83%,41803280040.00,United States,,3887468,Public Utilities,Power Generation
EXPD,Expeditors International of Washington Inc. Common Stock,$90.67,0.18,0.199%,15347320294.00,United States,,855439,Transportation,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,$136.13,8.83,6.936%,19257144466.00,United States,,4932203,Consumer Services,Transportation Services
EXPI,eXp World Holdings Inc. Common Stock,$119.90,4.83,4.197%,16774517177.00,United States,,759511,Finance,Real Estate
FAST,Fastenal Company Common Stock,$46.47,0.33,0.715%,26681195450.00,United States,1987,3600657,Consumer Services,RETAIL: Building Materials
FB,Facebook Inc. Class A Common Stock,$267.08,5.07,1.935%,760722006571.00,United States,2012,17267567,Technology,Computer Software: Programming Data Processing
FFIV,F5 Networks Inc. Common Stock,$194.19,-2.16,-1.10%,11968685099.00,United States,1999,812600,Technology,Computer Communications Equipment
FISV,Fiserv Inc. Common Stock,$110.02,3.52,3.305%,73561616188.00,United States,1986,4616387,Technology,EDP Services
FITB,Fifth Third Bancorp Common Stock,$30.32,0.83,2.815%,21610883200.00,United States,,5257709,Finance,Major Banks
FIVE,Five Below Inc. Common Stock,$181.19,8.50,4.922%,10123388250.00,United States,2012,894294,Consumer Services,Department/Specialty Retail Stores
FIVN,Five9 Inc. Common Stock,$173.02,5.76,3.444%,11416130722.00,United States,2014,451917,Technology,EDP Services
FOX,Fox Corporation Class B Common Stock,$29.55,-1.10,-3.589%,17593274839.00,United States,,1439191,Consumer Services,Broadcasting
FOXA,Fox Corporation Class A Common Stock,$30.51,-1.37,-4.297%,18164833006.00,United States,,4279489,Consumer Services,Broadcasting
FSLR,First Solar Inc. Common Stock,$97.29,-1.02,-1.038%,10310421482.00,United States,2006,2227235,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,$153.81,5.42,3.653%,24968296456.00,United States,2009,915885,Technology,Computer peripheral equipment
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$43.18,0.81,1.912%,10008276549.00,United States,,635773,Consumer Services,Broadcasting
GDRX,GoodRx Holdings Inc. Class A Common Stock,$51.18,1.21,2.421%,20029661342.00,United States,2020,1242710,Technology,EDP Services
GH,Guardant Health Inc. Common Stock,$158.35,2.94,1.892%,15830627323.00,United States,2018,669186,Health Care,Medical Specialities
GILD,Gilead Sciences Inc. Common Stock,$65.13,0.03,0.046%,81642288344.00,United States,1992,7742836,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GOOG,Alphabet Inc. Class C Capital Stock,$1927.51,26.16,1.376%,1303818403543.00,United States,2004,2246080,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$1919.12,26.05,1.376%,1298143187121.00,United States,,3283750,Technology,Computer Software: Programming Data Processing
HAS,Hasbro Inc. Common Stock,$95.49,1.13,1.198%,13085053808.00,United States,,757014,Consumer Non-Durables,Recreational Products/Toys
HBAN,Huntington Bancshares Incorporated Common Stock,$13.53,0.31,2.345%,13762672379.00,United States,,10087673,Finance,Major Banks
HOLX,Hologic Inc. Common Stock,$82.14,-0.75,-0.905%,21164339595.00,United States,1990,2066347,Health Care,Medical Electronics
HST,Host Hotels & Resorts Inc. Common Stock,$14.19,0.55,4.032%,10008638844.00,United States,,6519453,Consumer Services,Real Estate Investment Trusts
IAC,IAC/InterActiveCorp Common Stock,$233.16,12.83,5.823%,20696304706.00,United States,,984993,Consumer Services,Other Consumer Services
IBKR,Interactive Brokers Group Inc. Class A Common Stock,$68.33,2.81,4.289%,29275140456.00,United States,2019,1626277,Finance,Investment Bankers/Brokers/Service
IDXX,IDEXX Laboratories Inc. Common Stock,$506.65,14.23,2.89%,43217190788.00,United States,1991,702021,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
IEP,Icahn Enterprises L.P. Common Stock,$57.74,0.59,1.032%,13400427556.00,United States,,106094,Capital Goods,Auto Parts:O.E.M.
ILMN,Illumina Inc. Common Stock,$440.25,-3.13,-0.706%,64276500000.00,United States,2000,928752,Capital Goods,Biotechnology: Laboratory Analytical Instruments
INCY,Incyte Corp. Common Stock,$93.05,2.13,2.343%,20377586175.00,United States,,1423785,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INTC,Intel Corporation Common Stock,$58.00,1.31,2.311%,235654000000.00,United States,,23552732,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$384.11,10.53,2.819%,105263741073.00,United States,1993,1123368,Technology,Computer Software: Prepackaged Software
IPGP,IPG Photonics Corporation Common Stock,$233.61,3.00,1.301%,12451567183.00,United States,2006,230405,Technology,Semiconductors
ISRG,Intuitive Surgical Inc. Common Stock,$757.84,11.73,1.572%,89088247995.00,United States,2000,551421,Health Care,Industrial Specialties
JBHT,J.B. Hunt Transport Services Inc. Common Stock,$140.60,3.69,2.695%,14854952400.00,United States,,528899,Transportation,Trucking Freight/Courier Services
JKHY,Jack Henry & Associates Inc. Common Stock,$151.28,2.80,1.886%,11545110198.00,United States,1985,485006,Technology,EDP Services
KDP,Keurig Dr Pepper Inc. Common Stock,$31.99,0.07,0.219%,45018032875.00,United States,,4157862,Consumer Non-Durables,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$33.16,-0.09,-0.271%,40542184251.00,United States,,8595307,Consumer Non-Durables,Packaged Foods
KLAC,KLA Corporation Common Stock,$298.78,6.16,2.105%,46149504123.00,United States,1980,1106903,Capital Goods,Electronic Components
LAZR,Luminar Technologies Inc.  Class A Common Stock,$32.63,-0.69,-2.071%,10570039511.00,United States,2019,4468386,Capital Goods,Auto Parts:O.E.M.
LBRDA,Liberty Broadband Corporation Class A Common Stock,$147.84,3.62,2.51%,35465814088.00,United States,,84852,Consumer Services,Television Services
LBRDK,Liberty Broadband Corporation Class C Common Stock,$149.62,4.44,3.058%,35892824025.00,United States,,1209151,Consumer Services,Television Services
LKQ,LKQ Corporation Common Stock,$36.405,0.445,1.237%,11079689918.00,United States,,1313142,Consumer Services,Motor Vehicles
LNT,Alliant Energy Corporation Common Stock,$49.02,0.07,0.143%,12243267700.00,United States,,1065816,Public Utilities,Power Generation
LOGI,Logitech International S.A. Ordinary Shares,$109.86,3.91,3.69%,18557696874.00,United States,1997,902365,Technology,Computer peripheral equipment
LRCX,Lam Research Corporation Common Stock,$516.07,14.62,2.916%,73903804350.00,United States,1984,1455480,Technology,Industrial Machinery/Components
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,$43.68,2.49,6.045%,14867145035.00,United States,,1448850,Consumer Services,Broadcasting
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,$44.17,0.00,0.00%,15033923905.00,United States,,187,Consumer Services,Broadcasting
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,$43.11,2.12,5.172%,14673136961.00,United States,,1871135,Consumer Services,Broadcasting
LYFT,Lyft Inc. Class A Common Stock,$47.50,1.99,4.373%,15082343925.00,United States,2019,7039336,Miscellaneous,Business Services
MAR,Marriott International Class A Common Stock,$122.10,4.35,3.694%,39600902524.00,United States,,2591243,Consumer Services,Hotels/Resorts
MASI,Masimo Corporation Common Stock,$264.06,4.58,1.765%,14537881129.00,United States,2007,251815,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MCHP,Microchip Technology Incorporated Common Stock,$143.92,1.67,1.174%,38692287824.00,United States,1993,1589274,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,$394.65,19.78,5.276%,23784102399.00,United States,2017,626252,Technology,Computer Software: Prepackaged Software
MDLZ,Mondelez International Inc. Class A Common Stock,$56.16,0.91,1.647%,80317940770.00,United States,,7378081,Consumer Non-Durables,Packaged Foods
MKTX,MarketAxess Holdings Inc. Common Stock,$580.11,11.38,2.001%,22022995543.00,United States,2004,292497,Finance,Investment Bankers/Brokers/Service
MNST,Monster Beverage Corporation,$90.44,2.19,2.482%,47744791503.00,United States,,1627483,Consumer Non-Durables,Beverages (Production/Distribution)
MORN,Morningstar Inc. Common Stock,$244.46,5.05,2.109%,10470940757.00,United States,2005,103660,Finance,Investment Managers
MPWR,Monolithic Power Systems Inc. Common Stock,$374.57,6.64,1.805%,16891983290.00,United States,2004,289877,Technology,Semiconductors
MRNA,Moderna Inc. Common Stock,$158.58,1.10,0.699%,62751708451.00,United States,2018,14911980,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MSFT,Microsoft Corporation Common Stock,$239.51,-0.14,-0.058%,1806436098354.00,United States,1986,25846038,Technology,Computer Software: Prepackaged Software
MTCH,Match Group Inc. Common Stock,$150.09,4.14,2.837%,39921425092.00,United States,,2750149,Technology,Computer Software: Programming Data Processing
MU,Micron Technology Inc. Common Stock,$81.62,1.19,1.48%,91305967177.00,United States,,11369357,Technology,Semiconductors
MXIM,Maxim Integrated Products Inc. Common Stock,$90.44,-0.19,-0.21%,24241634099.00,United States,1988,1944250,Technology,Semiconductors
NBIX,Neurocrine Biosciences Inc. Common Stock,$113.44,7.42,6.999%,10598603116.00,United States,1996,1062981,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NDAQ,Nasdaq Inc. Common Stock,$142.61,4.00,2.886%,23393401708.00,United States,,903142,Finance,Investment Bankers/Brokers/Service
NDSN,Nordson Corporation Common Stock,$183.59,1.01,0.553%,10668299238.00,United States,,192005,Capital Goods,Industrial Machinery/Components
NFLX,Netflix Inc. Common Stock,$548.16,9.12,1.692%,242777466270.00,United States,2002,3764397,Consumer Services,Consumer Electronics/Video Chains
NLOK,NortonLifeLock Inc. Common Stock,$21.86,0.42,1.959%,12938268822.00,United States,,4534456,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$65.08,-1.00,-1.513%,14537885192.00,United States,1995,2336639,Technology,Electronic Components
NTRA,Natera Inc. Common Stock,$119.03,7.48,6.706%,10161578840.00,United States,2015,674901,Health Care,Medical Specialities
NTRS,Northern Trust Corporation Common Stock,$92.12,1.56,1.723%,19187582680.00,United States,,755870,Finance,Major Banks
NUAN,Nuance Communications Inc. Common Stock,$47.28,0.85,1.831%,13469910681.00,United States,,3213759,Technology,Computer Software: Prepackaged Software
NVAX,Novavax Inc. Common Stock,$264.41,-3.89,-1.45%,17784203908.00,United States,,8053666,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NVDA,NVIDIA Corporation Common Stock,$542.27,12.79,2.416%,335665130000.00,United States,1999,5497346,Technology,Semiconductors
NWL,Newell Brands Inc. Common Stock,$25.40,1.015,4.162%,10777220000.00,United States,,4001997,Consumer Non-Durables,Plastic Products
NWS,News Corporation Class B Common Stock,$19.23,0.44,2.342%,11356957665.00,United States,,557225,Consumer Services,Newspapers/Magazines
NWSA,News Corporation Class A Common Stock,$19.785,0.415,2.142%,11684732574.00,United States,,2720900,Consumer Services,Newspapers/Magazines
ODFL,Old Dominion Freight Line Inc. Common Stock,$204.57,5.47,2.747%,24002494113.00,United States,1991,500301,Transportation,Trucking Freight/Courier Services
OKTA,Okta Inc. Class A Common Stock,$276.33,9.96,3.739%,35775362439.00,United States,2017,978626,Technology,Computer Software: Prepackaged Software
OLED,Universal Display Corporation Common Stock,$238.05,0.57,0.24%,11213203134.00,United States,,230071,Capital Goods,Electrical Products
ON,ON Semiconductor Corporation Common Stock,$36.85,0.14,0.381%,15153587154.00,United States,,6899360,Technology,Semiconductors
OPEN,Opendoor Technologies Inc Common Stock,$28.47,2.22,8.457%,15499710426.00,United States,,6175689,Finance,Real Estate
ORLY,O'Reilly Automotive Inc. Common Stock,$444.97,8.43,1.931%,32237373002.00,United States,1993,780936,Consumer Services,Other Specialty Stores
PAYX,Paychex Inc. Common Stock,$90.53,1.23,1.377%,32647939277.00,United States,1983,1686655,Consumer Services,Diversified Commercial Services
PCAR,PACCAR Inc. Common Stock,$91.89,0.71,0.779%,31849074000.00,United States,,2042781,Capital Goods,Auto Manufacturing
PCTY,Paylocity Holding Corporation Common Stock,$202.16,9.47,4.915%,10966314553.00,United States,2014,253026,Technology,Computer Software: Prepackaged Software
PEGA,Pegasystems Inc. Common Stock,$134.88,5.81,4.501%,10884505236.00,United States,1996,618211,Technology,EDP Services
PENN,Penn National Gaming Inc. Common Stock,$110.61,6.63,6.376%,17180420270.00,United States,1994,3603134,Consumer Services,Hotels/Resorts
PEP,PepsiCo Inc. Common Stock,$138.38,1.40,1.022%,191235138394.00,United States,,3581623,Consumer Non-Durables,Beverages (Production/Distribution)
PFG,Principal Financial Group Inc Common Stock,$50.59,0.46,0.918%,13898496299.00,United States,2001,1266344,Finance,Accident &Health Insurance
PLUG,Plug Power Inc. Common Stock,$64.25,0.40,0.626%,31949454094.00,United States,1999,24245763,Energy,Industrial Machinery/Components
PODD,Insulet Corporation Common Stock,$274.84,11.09,4.205%,18119616066.00,United States,2007,308460,Health Care,Medical/Dental Instruments
POOL,Pool Corporation Common Stock,$357.30,-2.52,-0.70%,14348661349.00,United States,1995,392635,Consumer Durables,Industrial Specialties
PPD,PPD Inc. Common Stock,$34.37,0.84,2.505%,12017623412.00,United States,2020,1331099,Health Care,Biotechnology: Commercial Physical & Biological Resarch
PTC,PTC Inc. Common Stock,$138.01,1.01,0.737%,16100628612.00,United States,,760967,Technology,Computer Software: Prepackaged Software
PTON,Peloton Interactive Inc. Class A Common Stock,$147.73,0.94,0.64%,43215815145.00,United States,2019,5306839,Energy,Consumer Electronics/Appliances
PYPL,PayPal Holdings Inc. Common Stock,$249.10,7.25,2.998%,291868429622.00,United States,,7047179,Miscellaneous,Business Services
QCOM,QUALCOMM Incorporated Common Stock,$164.78,3.20,1.98%,187149516931.00,United States,1991,6904229,Technology,Radio And Television Broadcasting And Communications Equipment
QRVO,Qorvo Inc. Common Stock,$179.33,-3.97,-2.166%,20453322112.00,United States,,2090272,Technology,Semiconductors
RARE,Ultragenyx Pharmaceutical Inc. Common Stock,$153.15,7.52,5.164%,10131760464.00,United States,2014,315404,Health Care,Major Pharmaceuticals
REGN,Regeneron Pharmaceuticals Inc. Common Stock,$499.98,-8.10,-1.594%,53350997875.00,United States,1991,883051,Health Care,Major Pharmaceuticals
RGEN,Repligen Corporation Common Stock,$215.42,9.01,4.365%,11787192365.00,United States,1986,391357,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ROKU,Roku Inc. Class A Common Stock,$418.75,2.55,0.613%,53152553900.00,United States,2017,2736784,Consumer Services,Television Services
ROST,Ross Stores Inc. Common Stock,$116.275,3.865,3.438%,41447747185.00,United States,1985,1645670,Consumer Services,Clothing/Shoe/Accessory Stores
RPRX,Royalty Pharma plc Class A Ordinary Shares ,$46.65,-0.08,-0.171%,29167464660.00,United States,2020,1380163,Health Care,Major Pharmaceuticals
RUN,Sunrun Inc. Common Stock,$71.22,1.34,1.918%,14068118222.00,United States,2015,4585314,Capital Goods,Industrial Specialties
SBAC,SBA Communications Corporation Class A Common Stock,$281.90,3.63,1.304%,31303021700.00,United States,1999,1106146,Consumer Services,Real Estate Investment Trusts
SBUX,Starbucks Corporation Common Stock,$101.65,3.07,3.114%,119672545000.00,United States,1992,6913322,Consumer Services,Restaurants
SGEN,Seagen Inc. Common Stock,$166.05,3.19,1.959%,29722388751.00,United States,2001,965833,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SIRI,Sirius XM Holdings Inc. Common Stock,$6.20,-0.06,-0.958%,26346908978.00,United States,,41905447,Consumer Services,Broadcasting
SIVB,SVB Financial Group Common Stock,$468.11,11.58,2.537%,24289508415.00,United States,,406827,Finance,Major Banks
SNPS,Synopsys Inc. Common Stock,$269.76,6.19,2.349%,41282046391.00,United States,1992,699975,Technology,Computer Software: Prepackaged Software
SPLK,Splunk Inc. Common Stock,$175.09,3.46,2.016%,28315702051.00,United States,2012,1968128,Technology,Computer Software: Prepackaged Software
SSNC,SS&C Technologies Holdings Inc. Common Stock,$65.42,1.69,2.652%,16745207338.00,United States,2010,872565,Technology,Computer Software: Prepackaged Software
SWKS,Skyworks Solutions Inc. Common Stock,$185.49,-0.30,-0.161%,30587304153.00,United States,,3750982,Technology,Semiconductors
TECH,Bio-Techne Corp Common Stock,$376.76,36.69,10.789%,14546442505.00,United States,,521637,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TER,Teradyne Inc. Common Stock,$121.61,4.06,3.454%,20194049121.00,United States,,4241491,Capital Goods,Electrical Products
TMUS,T-Mobile US Inc. Common Stock,$131.89,3.47,2.702%,163700123887.00,United States,,3453782,Public Utilities,Telecommunications Equipment
TRMB,Trimble Inc. Common Stock,$70.81,3.09,4.563%,17714936998.00,United States,1990,1710673,Capital Goods,Industrial Machinery/Components
TROW,T. Rowe Price Group Inc. Common Stock,$157.41,1.32,0.846%,35642788150.00,United States,1986,1244841,Finance,Investment Bankers/Brokers/Service
TSCO,Tractor Supply Company Common Stock,$143.18,3.46,2.476%,16680096873.00,United States,1994,1570834,Consumer Services,RETAIL: Building Materials
TSLA,Tesla Inc. Common Stock,$872.79,32.98,3.927%,827318280755.00,United States,2010,24248165,Capital Goods,Auto Manufacturing
TTD,The Trade Desk Inc. Class A Common Stock,$831.45,38.24,4.821%,39048463078.00,United States,2016,651801,Technology,Computer Software: Programming Data Processing
TTWO,Take-Two Interactive Software Inc. Common Stock,$207.11,6.17,3.071%,23840540419.00,United States,1997,1121796,Technology,Computer Software: Prepackaged Software
TW,Tradeweb Markets Inc. Class A Common Stock,$65.86,1.36,2.109%,14994501695.00,United States,2019,1101727,Finance,Investment Bankers/Brokers/Service
TXG,10x Genomics Inc. Class A Common Stock,$182.56,5.73,3.24%,19644700512.00,United States,2019,765758,Capital Goods,Biotechnology: Laboratory Analytical Instruments
TXN,Texas Instruments Incorporated Common Stock,$174.75,2.29,1.328%,160657138062.00,United States,,4859858,Technology,Semiconductors
UAL,United Airlines Holdings Inc. Common Stock,$40.83,0.895,2.241%,12732640823.00,United States,,13089785,Transportation,Air Freight/Delivery Services
ULTA,Ulta Beauty Inc. Common Stock,$287.15,4.94,1.75%,16177640189.00,United States,2007,609545,Consumer Services,Other Specialty Stores
VIAC,ViacomCBS Inc. Class B Common Stock,$50.26,-2.07,-3.956%,31022785619.00,United States,,17681233,Consumer Services,Broadcasting
VIACA,ViacomCBS Inc. Class A Common Stock,$50.30,-2.08,-3.971%,31047475460.00,United States,,92860,Consumer Services,Broadcasting
VRSK,Verisk Analytics Inc. Common Stock,$188.70,2.76,1.484%,30680694694.00,United States,2009,912238,Technology,EDP Services
